State,Score
California,86.50
New York,81.50
Hawaii,79.50
New Jersey,79
Connecticut,78.50
Massachusetts,78
Illinois,77
Maryland,72.50
Oregon,66.50
Washington,62.50
Delaware,60
Colorado,58.50
Rhode Island,57.50
Virginia,49
Pennsylvania,40
New Mexico,39.50
Minnesota,38.50
Nevada,35
Florida,33.50
Vermont,32.50
North Carolina,31
Nebraska,31
Wisconsin,28
Michigan,25.50
Maine,20.50
Louisiana,20.50
West Virginia,20
South Carolina,18
Tennessee,16.50
Indiana,16.50
Iowa,15.50
Texas,13.50
Ohio,13
Alabama,12.50
North Dakota,11.50
Utah,11
Kansas,9.50
Missouri,9
New Hampshire,9
Kentucky,9
Alaska,9
Arizona,8.50
Oklahoma,7.50
Wyoming,6.50
South Dakota,5.50
Montana,5
Georgia,5
Idaho,5
Arkansas,4.50
Mississippi,3